Scenario,state,missing,agents,observations,inaccuracy
outlier,4,0,50,150,0.015665292
outlier,8,0,50,150,0.01567984
outlier,16,0,50,150,0.017017912
outlier,4,0,50,300,0.017952934
outlier,16,0,50,300,0.014843267
outlier,8,0,50,300,0.016772602
outlier,4,0,150,150,0.021276418
outlier,4,0,50,500,0.019425529
outlier,16,0,150,150,0.011967514
outlier,8,0,50,500,0.015400181
outlier,8,0,150,150,0.012996661
outlier,16,0,50,500,0.014404079
outlier,4,0,150,300,0.023011835
outlier,4,0,300,150,0.015560604
outlier,8,0,150,300,0.013660397
outlier,8,0,300,150,0.011618224
outlier,16,0,150,300,0.011286526
outlier,4,0,150,500,0.015592158
outlier,8,0,150,500,0.014067533
outlier,16,0,150,500,0.010999041
outlier,8,0,300,300,0.012098772
outlier,4,0,300,300,0.019270722
outlier,4,0,300,500,0.020738685
outlier,8,0,300,500,0.014614193
outlier,8,0.2,50,150,0.017445868
outlier,16,0.2,50,150,0.022425072
outlier,4,0.2,50,150,0.016453246
outlier,4,0.4,50,150,0.015864074
outlier,8,0.4,50,150,0.023867358
outlier,16,0.4,50,150,0.03232098
outlier,16,0.6,50,150,0.098807508
outlier,4,0.6,50,150,0.035174284
outlier,16,0.2,150,150,0.014097426
outlier,8,0.6,50,150,0.05807972
outlier,4,0.2,150,150,0.022053138
outlier,8,0.2,150,150,0.013517825
outlier,8,0.2,50,300,0.017025993
outlier,16,0.2,50,300,0.017816281
outlier,4,0.2,50,300,0.018727279
outlier,16,0.8,50,150,0.277425238
outlier,16,0,50,150,0.277425238
outlier,4,0.8,50,150,0.159978766
outlier,16,0.2,50,150,0.279827804
outlier,8,0.8,50,150,0.259521913
outlier,4,0,50,150,0.159978766
outlier,16,0.4,50,150,0.262898099
outlier,8,0,50,150,0.259521913
outlier,4,0.2,50,150,0.12939563
outlier,16,0.6,50,150,0.273318017
outlier,8,0.2,50,150,0.243445731
outlier,4,0.4,50,150,0.107837056
outlier,16,0.8,50,150,0.263850041
outlier,16,0,50,150,0.018426501
outlier,8,0.4,50,150,0.224391468
outlier,4,0.6,50,150,0.081872152
outlier,8,0.6,50,150,0.217693596
outlier,4,0.8,50,150,0.077119799
outlier,4,0,50,150,0.018824694
outlier,8,0.8,50,150,0.266312138
outlier,8,0,50,150,0.015299234
outlier,16,0.2,50,150,0.023556295
outlier,4,0.2,50,150,0.019213584
outlier,8,0.2,50,150,0.015500287
outlier,16,0.4,150,150,0.021944017
outlier,16,0.4,50,150,0.037674238
outlier,4,0.4,150,150,0.024508169
