Scenario,states,missing,SS ratio,agents,observations,Inaccuracy
polarization,2,0,0,50,150,0.403935918
polarization,2,0,0,50,150,0.161357218
polarization,2,0.2,0,50,150,0.405427473
polarization,2,0.2,0,50,150,0.164549217
polarization,2,0,0,50,300,0.226262272
polarization,2,0.4,0,50,150,0.16841025
polarization,2,0.4,0,50,150,0.399189822
polarization,2,0.6,0,50,150,0.406595881
polarization,2,0.6,0,50,150,0.174160541
polarization,2,0,0,50,500,0.290971849
polarization,2,0,0,150,150,0.31753136
polarization,2,0,0,150,150,0.114231586
polarization,2,0.8,0,50,150,0.393642046
polarization,2,0.8,0,50,150,0.216944221
polarization,2,0.2,0,50,300,0.225755917
polarization,2,0.4,0,50,300,0.22701903
polarization,2,0.2,0,150,150,0.115214589
polarization,2,0,0,300,150,0.233476038
polarization,2,0,0,150,300,0.161213097
polarization,2,0.2,0.2,50,150,0.161465662
polarization,2,0.2,0,150,150,0.318778848
polarization,2,0.2,0.2,50,150,0.407664191
polarization,2,0.2,0,50,500,0.289614648
polarization,2,0.6,0,50,300,0.235374904
polarization,2,0.8,0,50,300,0.236897608
polarization,2,0.4,0,150,150,0.120662458
polarization,2,0.4,0,150,150,0.31643233
polarization,2,0.4,0.2,50,150,0.428024985
polarization,2,0.4,0.2,50,150,0.164268768
polarization,2,0.4,0,50,500,0.286686647
polarization,2,0,0,150,500,0.195554785
polarization,2,0.6,0,150,150,0.126639674
polarization,2,0,0,300,300,0.374250808
polarization,2,0.6,0,150,150,0.31797738
polarization,2,0.6,0,50,500,0.295991436
polarization,2,0.6,0.2,50,150,0.42570235
polarization,2,0.6,0.2,50,150,0.197732224
polarization,2,0,0,300,300,0.112106725
polarization,2,0.2,0,300,150,0.234754902
polarization,2,0.8,0,150,150,0.178338872
polarization,2,0.2,0,150,300,0.161794344
polarization,2,0.8,0,150,150,0.315740307
polarization,2,0.8,0,50,500,0.274736482
polarization,2,0.8,0.2,50,150,0.402026916
polarization,2,0.2,0.2,50,300,0.221133084
polarization,2,0.8,0.2,50,150,0.16776378
polarization,2,0.2,0.2,150,150,0.117250224
polarization,2,0.2,0.2,150,150,0.320442475
polarization,2,0.4,0,300,150,0.233819203
polarization,2,0,0,300,500,0.153916614
polarization,2,0.2,0.4,50,150,0.417973684
polarization,2,0.4,0,150,300,0.161919783
polarization,2,0.2,0.4,50,150,0.189574527
polarization,2,0.4,0.4,50,150,0.419814163
polarization,2,0.4,0.4,50,150,0.209033072
polarization,2,0.4,0.2,150,150,0.122711299
polarization,2,0.4,0.2,50,300,0.229853984
polarization,2,0.4,0.2,150,150,0.329384942
polarization,2,0.2,0,150,500,0.195613704
polarization,2,0.6,0.4,50,150,0.408329974
polarization,2,0.6,0,300,150,0.238352314
polarization,2,0.6,0.4,50,150,0.249512612
polarization,2,0.6,0,150,300,0.164121755
polarization,2,0.6,0.2,150,150,0.148864999
polarization,2,0.8,0.4,50,150,0.404827253
polarization,2,0.8,0.4,50,150,0.190873382
polarization,2,0.6,0.2,150,150,0.333041636
polarization,2,0.8,0,300,150,0.242192463
polarization,2,0.2,0.2,50,500,0.297635737
polarization,2,0.2,0,300,300,0.374423895
polarization,2,0.8,0.2,150,150,0.110778221
polarization,2,0.8,0,150,300,0.172177763
polarization,2,0.2,0.6,50,150,0.400042161
polarization,2,0.2,0.6,50,150,0.242707373
polarization,2,0.8,0.2,150,150,0.298930184
polarization,2,0.6,0.2,50,300,0.238769555
polarization,2,0.2,0,300,300,0.112228368
polarization,2,0.4,0.6,50,150,0.400400366
polarization,2,0.4,0.6,50,150,0.273303723
polarization,2,0.6,0.6,50,150,0.429200173
polarization,2,0.6,0.6,50,150,0.360174684
polarization,2,0.2,0.4,150,150,0.120886864
polarization,2,0.2,0.4,150,150,0.335669214
polarization,2,0.4,0,150,500,0.195877713
polarization,2,0.8,0.6,50,150,0.381010329
polarization,2,0.8,0.6,50,150,0.26923749
polarization,2,0.8,0.2,50,300,0.229452186
polarization,2,0.2,0.2,300,150,0.232083588
polarization,2,0.4,0.4,150,150,0.139609255
polarization,2,0.4,0.4,150,150,0.334250056
polarization,2,0.2,0.8,50,150,0.384479785
polarization,2,0.2,0.8,50,150,0.247867334
polarization,2,0.2,0.2,150,300,0.161706477
polarization,2,0.6,0.4,150,150,0.178981614
polarization,2,0.4,0.8,50,150,0.394417179
polarization,2,0.6,0.4,150,150,0.338475882
polarization,2,0.4,0.8,50,150,0.281644037
polarization,2,0.6,0.8,50,150,0.356382602
polarization,2,0.6,0.8,50,150,0.371767934
polarization,2,0.4,0.2,300,150,0.225249008
polarization,2,0.4,0,300,300,0.37561573
polarization,2,0.8,0.4,150,150,0.354903446
polarization,2,0.8,0.4,150,150,0.33370087
polarization,2,0.4,0,300,300,0.114532822
polarization,2,0.4,0.2,50,500,0.299273517
polarization,2,0.8,0.8,50,150,0.504040892
polarization,2,0.8,0.8,50,150,0.354999063
polarization,2,0.6,0,150,500,0.194532764
polarization,2,0,0,50,150,0.340393318
polarization,2,0,0,50,150,0.13334694
polarization,2,0.2,0,50,150,0.340582935
polarization,2,0.2,0,50,150,0.137813788
polarization,2,0.4,0,50,150,0.349334308
polarization,2,0.4,0,50,150,0.138006191
polarization,2,0.6,0,50,150,0.332779394
polarization,2,0.6,0,50,150,0.153725805
polarization,2,0.2,0.4,50,300,0.234617158
polarization,2,0.8,0,50,150,0.344927417
polarization,2,0.8,0,50,150,0.216844261
polarization,2,0.2,0.6,150,150,0.15018013
polarization,2,0.2,0.6,150,150,0.364689767
polarization,2,0.6,0.2,300,150,0.222514059
polarization,2,0.2,0.2,50,150,0.336951061
polarization,2,0.2,0.2,50,150,0.137499252
polarization,2,0.4,0.2,150,300,0.162886835
polarization,2,0.4,0.2,50,150,0.327547016
polarization,2,0.4,0.2,50,150,0.146180568
polarization,2,0.4,0.6,150,150,0.18233291
polarization,2,0.4,0.6,150,150,0.362273164
polarization,2,0.6,0.2,50,150,0.192201428
polarization,2,0.6,0.2,50,150,0.376847177
polarization,2,0.2,0,300,500,0.154062542
polarization,2,0.4,0.4,50,300,0.235533558
polarization,2,0.6,0.6,150,150,0.248855896
polarization,2,0.8,0.2,300,150,0.229567279
polarization,2,0.8,0,150,500,0.196296106
polarization,2,0.6,0.6,150,150,0.355296647
polarization,2,0.8,0.2,50,150,0.116533507
polarization,2,0.8,0.2,50,150,0.308090225
polarization,2,0.6,0,300,300,0.371939322
polarization,2,0.8,0.6,150,150,0.360295685
polarization,2,0.6,0,300,300,0.116823202
polarization,2,0.8,0.6,150,150,0.349144527
polarization,2,0.2,0.4,50,150,0.365852885
polarization,2,0.2,0.4,50,150,0.146430746
polarization,2,0.6,0.2,150,300,0.167395475
polarization,2,0.4,0.4,50,150,0.361786784
polarization,2,0.4,0.4,50,150,0.164839916
polarization,2,0.6,0.4,50,300,0.245157167
polarization,2,0.2,0.8,150,150,0.170036122
polarization,2,0.6,0.4,50,150,0.376700412
polarization,2,0.6,0.4,50,150,0.208234774
polarization,2,0.6,0.2,50,500,0.285552338
polarization,2,0.2,0.4,300,150,0.234193861
polarization,2,0.2,0.8,150,150,0.365482874
polarization,2,0.8,0.4,50,150,0.357765517
polarization,2,0.8,0.4,50,150,0.142291064
polarization,2,0.4,0.8,150,150,0.207519714
polarization,2,0.4,0.8,150,150,0.360815686
polarization,2,0.2,0.6,50,150,0.388445031
polarization,2,0.2,0.6,50,150,0.167290912
polarization,2,0.8,0.4,50,300,0.334706086
polarization,2,0.6,0.8,150,150,0.285157364
polarization,2,0.4,0.4,300,150,0.233088199
polarization,2,0.4,0.6,50,150,0.383775301
polarization,2,0.4,0.6,50,150,0.199511943
polarization,2,0.8,0.2,150,300,0.15102528
polarization,2,0.6,0.8,150,150,0.372756216
polarization,2,0.8,0,300,300,0.380455184
polarization,2,0.6,0.6,50,150,0.274340758
polarization,2,0.6,0.6,50,150,0.37920157
polarization,2,0.8,0,300,300,0.132907561
polarization,2,0.8,0.8,150,150,0.346504754
polarization,2,0.8,0.6,50,150,0.346167117
polarization,2,0.8,0.6,50,150,0.408750772
polarization,2,0.8,0.8,150,150,0.362684213
polarization,2,0,0,150,150,0.095037487
polarization,2,0.6,0.4,300,150,0.238738402
polarization,2,0.2,0.8,50,150,0.196418453
polarization,2,0.2,0.8,50,150,0.399612154
polarization,2,0.2,0,150,150,0.098575232
polarization,2,0,0,150,150,0.334333827
polarization,2,0.4,0.8,50,150,0.257272228
polarization,2,0.4,0,150,150,0.101524443
polarization,2,0.4,0.8,50,150,0.374041801
polarization,2,0.2,0,150,150,0.334102233
polarization,2,0.2,0.6,50,300,0.2210671
polarization,2,0.6,0,150,150,0.115188524
polarization,2,0.2,0.2,150,500,0.19554125
polarization,2,0.6,0.8,50,150,0.301296212
polarization,2,0.4,0,150,150,0.333115794
polarization,2,0.6,0.8,50,150,0.363189773
polarization,2,0.8,0.4,300,150,0.271715913
polarization,2,0.8,0.2,50,500,0.273691316
polarization,2,0.8,0,150,150,0.164722991
polarization,2,0.6,0,150,150,0.329968126
polarization,2,0.8,0.8,50,150,0.360627257
polarization,2,0.8,0.8,50,150,0.432062746
polarization,2,0.8,0,150,150,0.33802907
polarization,2,0,0,50,150,0.0910662
polarization,2,0.2,0,50,150,0.094766346
polarization,2,0,0,50,150,0.269336329
polarization,2,0.4,0,50,150,0.105456311
polarization,2,0.2,0,50,150,0.264462871
polarization,2,0.6,0,50,150,0.114499364
polarization,2,0.2,0.2,150,150,0.098891753
polarization,2,0.4,0,50,150,0.269531631
polarization,2,0.8,0,50,150,0.193275362
polarization,2,0.2,0.4,150,300,0.160681348
polarization,2,0.6,0,50,150,0.267656379
polarization,2,0.4,0.6,50,300,0.237059932
polarization,2,0.8,0,50,150,0.284243698
polarization,2,0.2,0.2,50,150,0.089069932
polarization,2,0.2,0.2,150,150,0.348526355
polarization,2,0.2,0.2,50,150,0.260079703
polarization,2,0.4,0,300,500,0.15403618
polarization,2,0.4,0.2,150,150,0.103809841
polarization,2,0.4,0.2,50,150,0.080050467
polarization,2,0.2,0.6,300,150,0.228666691
polarization,2,0.4,0.2,50,150,0.261834044
polarization,2,0.4,0.2,150,150,0.346867688
polarization,2,0.6,0.2,50,150,0.14144427
polarization,2,0.6,0.2,150,150,0.141835507
polarization,2,0.6,0.2,50,150,0.269936657
polarization,2,0.8,0.2,50,150,0.081152188
polarization,2,0.6,0.6,50,300,0.285967773
polarization,2,0.6,0.2,150,150,0.332416363
polarization,2,0.8,0.2,50,150,0.222300013
polarization,2,0.8,0.2,150,150,0.096197184
polarization,2,0.2,0.2,300,300,0.367560384
polarization,2,0.4,0.6,300,150,0.230996049
polarization,2,0.2,0.4,50,150,0.13141789
polarization,2,0.4,0.4,150,300,0.163053152
polarization,2,0.2,0.2,300,300,0.113850412
polarization,2,0.8,0.2,150,150,0.27331845
polarization,2,0.2,0.4,50,150,0.292637785
polarization,2,0.4,0.4,50,150,0.144635262
polarization,2,0.4,0.4,50,150,0.290034812
polarization,2,0.2,0.4,150,150,0.111561734
polarization,2,0.6,0.4,50,150,0.23457905
polarization,2,0.8,0.6,50,300,0.343177052
polarization,2,0.6,0.4,50,150,0.300816368
polarization,2,0.8,0.4,50,150,0.324382681
polarization,2,0.2,0.4,150,150,0.352648868
polarization,2,0.6,0.6,300,150,0.257175116
polarization,2,0.4,0.4,150,150,0.130250146
polarization,2,0.8,0.4,50,150,0.331509011
polarization,2,0.4,0.2,150,500,0.197340533
polarization,2,0.2,0.6,50,150,0.173472866
polarization,2,0.4,0.4,150,150,0.355695175
polarization,2,0.6,0.4,150,150,0.171172883
polarization,2,0.2,0.6,50,150,0.30588
polarization,2,0.4,0.6,50,150,0.225667662
polarization,2,0.6,0.4,150,300,0.181343314
polarization,2,0.6,0.4,150,150,0.374626705
polarization,2,0.8,0.6,300,150,0.269560724
polarization,2,0.4,0.6,50,150,0.307158619
polarization,2,0.6,0.6,50,150,0.361299853
polarization,2,0.8,0.4,150,150,0.114128079
polarization,2,0.2,0.4,50,500,0.283633186
polarization,2,0.8,0.6,50,150,0.369220741
polarization,2,0.6,0.6,50,150,0.274101779
polarization,2,0.2,0.8,50,300,0.229230295
polarization,2,0.8,0.4,150,150,0.376626996
polarization,2,0.8,0.6,50,150,0.348026097
polarization,2,0.2,0.8,50,150,0.182045384
polarization,2,0.2,0.6,150,150,0.157243425
polarization,2,0.4,0.2,300,300,0.370844768
polarization,2,0.4,0.8,50,150,0.24230056
polarization,2,0.2,0.8,50,150,0.311748376
polarization,2,0.2,0.6,150,150,0.371240035
polarization,2,0.4,0.2,300,300,0.116923214
polarization,2,0.4,0.6,150,150,0.194569024
polarization,2,0.6,0.8,50,150,0.350177203
polarization,2,0.4,0.8,50,300,0.243208525
polarization,2,0.2,0.8,300,150,0.2314935
polarization,2,0.8,0.4,150,300,0.234210901
polarization,2,0.4,0.8,50,150,0.302453569
polarization,2,0.4,0.6,150,150,0.381832925
polarization,2,0.8,0.8,50,150,0.229702905
polarization,2,0.6,0.6,150,150,0.292120604
polarization,2,0.6,0.8,50,150,0.311628103
polarization,2,0,0,50,150,0.056062728
polarization,2,0.2,0,50,150,0.061168094
polarization,2,0.4,0,50,150,0.073030119
polarization,2,0.6,0,300,500,0.155285252
polarization,2,0.8,0.8,50,150,0.371322059
polarization,2,0.6,0,50,150,0.096387212
polarization,2,0.6,0.6,150,150,0.380788564
polarization,2,0.8,0,50,150,0.170977565
polarization,2,0.8,0.6,150,150,0.35277042
polarization,2,0,0,50,150,0.190618698
polarization,2,0.2,0,50,150,0.186480555
polarization,2,0.2,0.2,50,150,0.061381696
polarization,2,0.4,0.8,300,150,0.227838114
polarization,2,0.4,0,50,150,0.190279717
polarization,2,0.6,0.8,50,300,0.267364477
polarization,2,0.6,0,50,150,0.181801649
polarization,2,0.8,0,50,150,0.212854617
polarization,2,0.8,0.6,150,150,0.410524965
polarization,2,0.4,0.2,50,150,0.080476835
polarization,2,0.6,0.2,150,500,0.186710205
polarization,2,0.2,0.2,50,150,0.202837495
polarization,2,0.2,0.8,150,150,0.159849107
polarization,2,0.6,0.2,50,150,0.139197039
polarization,2,0.4,0.4,50,500,0.285670555
polarization,2,0.4,0.2,50,150,0.20593822
polarization,2,0.2,0.8,150,150,0.347907804
polarization,2,0.8,0.2,50,150,0.086002749
polarization,2,0.6,0.8,300,150,0.229909982
polarization,2,0.4,0.8,150,150,0.205057545
polarization,2,0.6,0.2,50,150,0.186491771
polarization,2,0.8,0.8,50,300,0.365210562
polarization,2,0.8,0.2,50,150,0.050961156
polarization,2,0.2,0.4,50,150,0.095688627
polarization,2,0.4,0.8,150,150,0.336947212
polarization,2,0.2,0.6,150,300,0.158104533
polarization,2,0.6,0.8,150,150,0.308047303
polarization,2,0.6,0.2,300,300,0.353503744
polarization,2,0.4,0.4,50,150,0.112751562
polarization,2,0.2,0.4,50,150,0.146682083
polarization,2,0,0,50,300,0.1825492
polarization,2,0.8,0.8,300,150,0.255518236
polarization,2,0.6,0.2,300,300,0.126606203
polarization,2,0.6,0.8,150,150,0.360054156
polarization,2,0.6,0.4,50,150,0.191642869
polarization,2,0.2,0,50,300,0.182108053
polarization,2,0.4,0.4,50,150,0.151982006
polarization,2,0.8,0.8,150,150,0.348013963
polarization,2,0.4,0,50,300,0.176895432
polarization,2,0.6,0,50,300,0.180951511
polarization,2,0.8,0.4,50,150,0.330429853
