scenario,run,agents,observations,states,missing,RFN,KL,Inaccuracy
polar,0,50,150,4,0,0.779338642,3.867609358,0.275537819
polar,0,50,150,4,0.2,0.786430583,5.484297874,0.278045199
polar,0,50,150,4,0.4,0.781046366,5.428476079,0.276141591
polar,0,50,150,4,0.6,0.784281936,4.982096699,0.277285538
polar,0,50,150,4,0.8,0.792811211,26.15102384,0.280301092
polar,0,300,150,8,0,0.850205972,9.748560922,0.212551493
polar,0,50,300,8,0,0.74835962,7.043804258,0.187089905
polar,0,50,300,8,0.2,0.750455778,7.148505229,0.187613945
polar,0,300,150,8,0.2,0.847799883,9.650584306,0.211949971
polar,0,50,300,8,0.4,0.749460493,7.195801333,0.187365123
polar,0,50,300,8,0.6,0.804766321,17.40834776,0.20119158
polar,0,150,500,4,0,0.905043091,5.179371368,0.319981053
polar,0,300,150,8,0.4,0.853387369,9.872896261,0.213346842
polar,0,50,300,8,0.8,0.782178865,29.02370842,0.195544716
polar,0,300,150,8,0.6,0.836124181,9.506578639,0.209031045
polar,0,300,150,8,0.8,0.844628626,8.569779083,0.211157157
polar,0,150,500,4,0.2,0.903319605,5.091186433,0.319371709
polar,0,150,150,32,0,0.927800181,141.354601,0.115975023
polar,0,150,150,32,0.2,0.937961013,184.2371027,0.117245127
polar,0,300,300,16,0,0.851586398,20.04564825,0.150540629
polar,0,150,150,32,0.4,0.966253211,182.556594,0.120781651
polar,0,150,500,4,0.4,0.911571766,5.520412275,0.322289289
polar,0,150,150,32,0.6,1.010439581,215.0966169,0.126304948
polar,0,150,150,32,0.8,1.357866458,332.0358641,0.169733307
polar,0,150,500,4,0.6,0.889562462,4.853377363,0.314507824
polar,0,50,500,16,0,0.894434617,69.85938539,0.158115196
polar,0,300,300,16,0.2,0.851245433,19.97593118,0.150480354
polar,0,150,500,4,0.8,0.92294561,25.28193037,0.32631055
polar,0,50,500,16,0.2,0.907917166,77.60014415,0.160498596
polar,0,50,500,16,0.4,0.931783566,88.58963088,0.164717619
polar,0,300,300,16,0.4,0.846913549,19.80814933,0.149714578
polar,0,50,500,16,0.6,1.138569547,91.14856684,0.201272562
polar,0,50,500,16,0.8,0.716487595,10.57546832,0.126658309
polar,0,300,300,16,0.6,0.85875079,20.4827661,0.151807127
polar,0,300,300,16,0.8,0.855058869,20.52433771,0.151154481
polar,0,300,500,32,0,0.955319435,208.4750593,0.119414929
polar,0,150,300,64,0,0.852074716,76.85390987,0.075313476
polar,0,150,300,64,0.2,0.860140582,79.66898188,0.076026405
polar,0,150,300,64,0.4,0.866792955,108.323783,0.076614397
polar,0,300,500,32,0.2,0.97936666,210.4337413,0.122420833
polar,0,150,300,64,0.6,0.916248869,268.1754477,0.080985724
polar,0,150,300,64,0.8,1.105246841,724.0766145,0.097690942
polar,0,300,500,32,0.4,1.130472554,224.7880794,0.141309069
polar,0,300,500,32,0.6,1.196754187,226.9376856,0.149594273
polar,0,300,500,32,0.8,1.150137951,145.6499117,0.143767244
polar,0,50,150,4,0,0.814856217,4.26930112,0.288095178
polar,0,50,150,4,0.2,0.807880076,3.792157364,0.28562874
polar,0,50,150,4,0.4,0.854695917,24.79695176,0.302180639
polar,0,50,150,4,0.6,0.746265934,3.23131354,0.263844851
polar,0,50,150,4,0.8,0.827070426,24.71934579,0.292413553
polar,0,150,150,32,0,0.865504328,41.23050165,0.108188041
polar,0,300,150,8,0,0.858644509,9.586494613,0.214661127
polar,0,150,150,32,0.2,0.868127196,41.90018163,0.108515899
polar,0,150,150,32,0.4,0.873710384,46.52353925,0.109213798
polar,0,300,150,8,0.2,0.858491011,9.657376368,0.214622753
polar,0,150,150,32,0.6,0.901627277,86.98924538,0.11270341
polar,0,150,150,32,0.8,1.009271494,292.6733545,0.126158937
polar,0,300,150,8,0.4,0.857075505,9.499389863,0.214268876
polar,0,300,150,8,0.6,0.84269678,9.241962894,0.210674195
polar,0,300,150,8,0.8,0.878156282,10.2384217,0.21953907
polar,0,50,150,4,0,0.700032881,2.951383419,0.247498999
polar,0,50,150,4,0.2,0.699568459,2.926811195,0.247334801
polar,0,50,150,4,0.4,0.674061118,2.76276884,0.238316594
polar,0,50,150,4,0.6,0.58430151,2.266909678,0.20658178
polar,0,50,150,4,0.8,0.672550567,2.556191653,0.237782533
polar,0,150,150,32,0,0.920329022,128.7106545,0.115041128
polar,0,150,150,32,0.2,0.93980459,169.8731722,0.117475574
polar,0,150,150,32,0.4,0.951688662,183.7362646,0.118961083
polar,0,150,150,32,0.6,1.019331598,231.5383748,0.12741645
polar,0,150,150,32,0.8,1.315315808,299.6590789,0.164414476
polar,0,300,150,8,0,0.892432687,10.23882667,0.223108172
