run,agents,observations,states,loud,outliers,missing,Time,RFN,KL,Inaccuracy
0,50,150,4,min,0.1,0,0.075348854,0.729199619,1.851556957,0.257810998
0,50,150,4,min,0.1,0.2,0.064691067,0.715299039,1.728205711,0.252896401
0,50,150,4,min,0.1,0.4,0.055778742,0.746077333,2.302494136,0.263778171
0,50,150,4,min,0.1,0.6,0.046153307,0.742654781,1.953719539,0.262568116
0,50,150,4,min,0.1,0.8,0.039117336,0.704974759,2.02670829,0.249246216
0,150,150,4,min,0.1,0,0.212282419,0.894864626,2.482303746,0.316382423
0,50,150,4,maj,0.1,0,0.071820974,0.729199619,1.851556957,0.257810998
0,50,150,8,min,0.1,0,0.081252813,0.871993536,4.057123276,0.217998384
0,50,150,4,maj,0.1,0.2,0.088759184,0.733262461,1.885369153,0.259247429
0,50,300,4,min,0.1,0,0.154583931,0.700474931,1.52609863,0.247655287
0,150,150,4,min,0.1,0.2,0.199298859,0.896210018,2.515957558,0.31685809
0,50,150,8,min,0.1,0.2,0.079854012,0.872281906,4.076262967,0.218070477
0,300,150,4,min,0.1,0,0.416090488,0.763825154,1.27708784,0.270052973
0,50,150,4,maj,0.1,0.4,0.081353188,0.732429893,1.872867158,0.258953072
0,50,150,8,min,0.1,0.4,0.065695763,0.854085816,3.948166739,0.213521454
0,50,150,4,maj,0.1,0.6,0.075323343,0.734464196,1.878813391,0.259672307
0,150,150,8,min,0.1,0,0.223276615,0.777881158,3.903337722,0.194470289
0,50,300,4,min,0.1,0.2,0.139977217,0.701915995,1.538399182,0.24816478
0,50,150,8,min,0.1,0.6,0.058733463,0.874688916,4.282049195,0.218672229
0,150,150,4,min,0.1,0.4,0.160529852,0.908585097,2.586608899,0.321233342
0,50,150,4,maj,0.1,0.8,0.073676825,0.734420462,1.876265221,0.259656844
0,50,150,8,min,0.1,0.8,0.052659273,0.872371769,4.494190111,0.218092942
0,150,300,4,min,0.1,0,0.41046834,0.732396336,1.700555552,0.258941208
0,50,300,4,min,0.1,0.4,0.117921829,0.708622387,1.558950209,0.250535848
0,50,150,8,maj,0.1,0,0.083342552,0.871993536,4.057123276,0.217998384
0,150,150,4,min,0.1,0.6,0.153548717,0.915812993,2.631301392,0.323788789
0,150,150,8,min,0.1,0.2,0.204669952,0.77260205,3.836335178,0.193150512
0,50,300,4,min,0.1,0.6,0.103281975,0.708277462,1.620139565,0.250413898
0,300,150,8,min,0.1,0,0.446560383,0.794821667,4.337382803,0.198705417
0,50,150,8,maj,0.1,0.2,0.080716133,0.871900511,4.047361366,0.217975128
0,300,150,4,min,0.1,0.2,0.389846087,0.763685754,1.268441606,0.270003688
0,150,150,4,min,0.1,0.8,0.128395796,0.918075165,2.720680762,0.324588587
0,50,500,4,min,0.1,0,0.272408247,0.789127772,1.405069745,0.278998799
0,50,300,4,min,0.1,0.8,0.091805696,0.724385766,1.668724628,0.256109044
0,50,150,8,maj,0.1,0.4,0.087264299,0.874395313,4.070952626,0.218598828
0,50,150,16,min,0.1,0,0.103316307,0.804740694,7.45730592,0.1422594
0,150,150,8,min,0.1,0.4,0.184543133,0.772371922,3.83111243,0.193092981
0,50,150,4,min,0.2,0,0.07968235,0.69234158,1.679025778,0.244779713
0,50,300,8,min,0.1,0,0.186024427,0.776248601,3.83203729,0.19406215
0,50,150,8,maj,0.1,0.6,0.085687399,0.874527099,4.050915512,0.218631775
0,50,150,16,min,0.1,0.2,0.09422183,0.812119059,7.697551956,0.143563723
0,50,150,4,min,0.2,0.2,0.069693327,0.696702829,1.700073997,0.246321647
0,50,300,4,maj,0.1,0,0.155878782,0.700474931,1.52609863,0.247655287
0,50,150,8,maj,0.1,0.8,0.089241982,0.874490837,4.062467095,0.218622709
0,150,300,4,min,0.1,0.2,0.399607897,0.734956778,1.722820817,0.259846461
0,50,150,4,min,0.2,0.4,0.065663815,0.691131529,1.699582499,0.244351895
0,50,150,16,min,0.1,0.4,0.090750933,0.815293427,8.045214634,0.144124878
0,150,150,4,maj,0.1,0,0.225589275,0.894864626,2.482303746,0.316382423
0,150,150,8,min,0.1,0.6,0.168445587,0.777500655,3.908437619,0.194375164
0,150,150,16,min,0.1,0,0.262328625,0.815360526,8.045134378,0.144136739
0,50,500,4,min,0.1,0.2,0.261326551,0.797441215,1.452242326,0.281938045
0,50,150,4,min,0.2,0.6,0.056313038,0.695220263,1.750768738,0.245797481
0,50,300,8,min,0.1,0.2,0.188168526,0.778253197,3.898923353,0.194563299
0,300,300,4,min,0.1,0,0.883930683,0.736495283,1.882491174,0.260390404
0,50,150,16,min,0.1,0.6,0.087892294,0.827915949,9.053167506,0.146356246
0,300,150,8,min,0.1,0.2,0.389219999,0.792476552,4.293935417,0.198119138
0,50,150,4,min,0.2,0.8,0.048122883,0.684009496,1.681852213,0.241833877
0,300,150,4,min,0.1,0.4,0.357061863,0.761887818,1.277504799,0.269368021
0,50,300,4,maj,0.1,0.2,0.171097994,0.699065557,1.519178537,0.247156998
0,150,300,8,min,0.1,0,0.515025139,0.776961583,3.628477346,0.194240396
0,150,150,8,min,0.1,0.8,0.148028851,0.762619559,3.616484079,0.19065489
0,50,150,16,min,0.1,0.8,0.0711689,0.855071625,21.12540046,0.151156736
0,50,150,4,maj,0.2,0,0.074757814,0.69234158,1.679025778,0.244779713
0,50,300,8,min,0.1,0.4,0.141431332,0.778616448,3.88181767,0.194654112
0,150,150,4,maj,0.1,0.2,0.224807739,0.893744861,2.475114948,0.315986526
0,150,150,16,min,0.1,0.2,0.206617355,0.814420968,7.968222446,0.143970647
0,50,150,4,maj,0.2,0.2,0.078708649,0.692814289,1.675305204,0.244946841
0,50,150,16,maj,0.1,0,0.105762243,0.804740694,7.45730592,0.1422594
0,50,300,4,maj,0.1,0.4,0.154973507,0.69786859,1.512143065,0.246733806
0,50,500,4,min,0.1,0.4,0.220645428,0.802420788,1.456304078,0.28369859
0,150,300,4,min,0.1,0.4,0.358357191,0.731486728,1.713434695,0.258619613
0,50,300,8,min,0.1,0.6,0.126034975,0.771134815,3.765355202,0.192783704
0,50,150,4,maj,0.2,0.4,0.084899902,0.692309288,1.6677046,0.244768296
0,150,500,4,min,0.1,0,0.858337879,0.800918835,2.166041356,0.28316757
0,50,150,16,maj,0.1,0.2,0.101459026,0.802546507,7.411300418,0.141871519
0,150,150,8,maj,0.1,0,0.227377653,0.777881158,3.903337722,0.194470289
0,300,150,4,min,0.1,0.6,0.309592724,0.764645483,1.291643525,0.270343003
0,50,150,4,maj,0.2,0.6,0.07720685,0.691466683,1.664225698,0.24447039
0,150,150,16,min,0.1,0.4,0.203341484,0.812902419,8.019358483,0.143702203
0,50,300,4,maj,0.1,0.6,0.17074728,0.698658141,1.512634419,0.247012955
0,300,150,8,min,0.1,0.4,0.357793331,0.795649768,4.349274066,0.198912442
0,50,300,8,min,0.1,0.8,0.115393162,0.784286295,3.992757765,0.196071574
0,150,150,4,maj,0.1,0.4,0.230391502,0.889967406,2.451809747,0.314650994
0,50,150,16,maj,0.1,0.4,0.102357626,0.805999085,7.499003942,0.142481855
0,50,500,4,min,0.1,0.6,0.206823111,0.793673703,1.469793101,0.280606029
0,50,150,4,maj,0.2,0.8,0.072754383,0.689870652,1.654771206,0.243906108
0,50,150,16,maj,0.1,0.6,0.098214388,0.803807307,7.436025273,0.142094399
0,150,300,8,min,0.1,0.2,0.453589439,0.777192451,3.623193494,0.194298113
0,50,150,8,min,0.2,0,0.091799736,0.761948895,3.462420868,0.190487224
0,50,300,4,maj,0.1,0.8,0.171487331,0.697166895,1.506710623,0.246485719
0,150,150,16,min,0.1,0.6,0.173985958,0.826380422,8.575763664,0.1460848
0,150,150,8,maj,0.1,0.2,0.234774113,0.777997409,3.91132071,0.194499352
0,50,300,8,maj,0.1,0,0.170992136,0.776248601,3.83203729,0.19406215
0,300,300,8,min,0.1,0,0.911894321,0.768147037,3.658517126,0.192036759
0,150,300,4,min,0.1,0.6,0.307443142,0.731047146,1.695703843,0.258464197
0,50,500,4,min,0.1,0.8,0.167985678,0.817443272,1.554889107,0.289009841
0,50,150,16,maj,0.1,0.8,0.101242542,0.804236635,7.439565723,0.142170295
0,50,150,8,min,0.2,0.2,0.086213827,0.764285978,3.501048341,0.191071495
0,150,150,4,maj,0.1,0.6,0.229124069,0.890444477,2.456148012,0.314819664
0,50,500,8,min,0.1,0,0.287379503,0.757247565,4.024955258,0.189311891
0,300,150,4,min,0.1,0.8,0.274307728,0.76290587,1.299061176,0.269727957
0,300,150,8,min,0.1,0.6,0.307427883,0.794118987,4.315172583,0.198529747
0,50,150,8,min,0.2,0.4,0.075824738,0.771373592,3.557965324,0.192843398
0,150,150,16,min,0.1,0.8,0.153981209,0.831190314,9.006270842,0.146935077
0,50,300,8,maj,0.1,0.2,0.178044558,0.777016785,3.837149302,0.194254196
0,50,150,8,min,0.2,0.6,0.068167686,0.769734735,3.508376164,0.192433684
0,150,150,8,maj,0.1,0.4,0.232671976,0.778516323,3.913496554,0.194629081
0,50,150,4,min,0.3,0,0.10686779,0.793915606,3.078795178,0.280691554
0,300,300,4,min,0.1,0.2,0.822248936,0.73649566,1.881884544,0.260390538
0,50,150,8,min,0.2,0.8,0.057263136,0.78228798,3.662870592,0.195571995
0,50,300,16,min,0.1,0,0.215250492,0.77960667,7.359410181,0.137816291
0,150,300,4,min,0.1,0.8,0.261392117,0.727641376,1.6848466,0.257260076
0,150,150,4,maj,0.1,0.8,0.241370201,0.891669093,2.458168792,0.315252631
0,50,500,4,maj,0.1,0,0.292971373,0.789127772,1.405069745,0.278998799
0,50,150,4,min,0.3,0.2,0.071208,0.799413248,3.045509609,0.282635264
0,50,500,8,min,0.1,0.2,0.282454014,0.757937285,4.036647305,0.189484321
0,150,300,8,min,0.1,0.4,0.383687973,0.778062772,3.687121517,0.194515693
0,50,300,8,maj,0.1,0.4,0.181079626,0.779200008,3.862606966,0.194800002
0,50,150,8,maj,0.2,0,0.087737083,0.761948895,3.462420868,0.190487224
0,50,150,4,min,0.3,0.4,0.062835455,0.786219996,3.004314518,0.277970745
0,300,150,8,min,0.1,0.8,0.259453058,0.793346748,4.286116907,0.198336687
0,150,150,16,maj,0.1,0,0.273493052,0.815360526,8.045134378,0.144136739
0,300,500,4,min,0.1,0,1.504017115,0.869676533,2.393293619,0.307477087
0,50,150,4,min,0.3,0.6,0.05761528,0.793570969,2.995881678,0.280569707
0,150,500,4,min,0.1,0.2,0.702314138,0.799758457,2.158711492,0.282757314
0,150,150,8,maj,0.1,0.6,0.226253748,0.779764101,3.936688271,0.194941025
0,50,150,8,maj,0.2,0.2,0.090774775,0.760741503,3.45728053,0.190185376
0,50,300,16,min,0.1,0.2,0.197133064,0.781954406,7.445282235,0.138231316
0,50,150,4,min,0.3,0.8,0.054638624,0.808785995,3.037812265,0.285949031
0,300,150,4,maj,0.1,0,0.44157958,0.763825154,1.27708784,0.270052973
0,50,300,8,maj,0.1,0.6,0.169131041,0.778616172,3.851685164,0.194654043
0,50,150,8,maj,0.2,0.4,0.086248875,0.759859018,3.449723507,0.189964755
0,50,150,4,maj,0.3,0,0.071224213,0.793915606,3.078795178,0.280691554
