run,state,missing,Time,KL,Inaccuracy,agents,observations,imputed,imputed time,EM,EM time
0,4,0,0.058643103,0.651614779,0.166982523,50,150,0.166982523,0.14302969,0.288759894,0.52878809
0,8,0,0.102036476,2.929038415,0.161378266,50,300,0.161378266,0.248939753,0.231964426,0.964669704
0,32,0,0.171342611,12.65179184,0.086179426,150,150,0.086179426,0.353962183,0.12308464,1.375449181
0,8,0,0.291096687,2.276425739,0.146345473,300,150,0.146345473,0.578591585,0.232332225,2.4037292
0,16,0,0.207082987,5.766117907,0.117306155,50,500,0.117306155,0.46388936,0.170603803,1.733256578
0,4,0,0.458440542,0.713282346,0.166421734,150,500,0.166421734,0.974139214,0.285401078,4.021909475
0,16,0,0.552592754,5.544522735,0.113660718,300,300,0.113660718,1.148309469,0.170554699,4.857783556
0,64,0,0.435859919,29.0448331,0.064229662,150,300,0.064229662,0.904332638,0.08780087,3.303702593
0,32,0,1.076117754,12.35900041,0.085123949,300,500,0.085123949,2.182210922,0.122910372,8.821211338
0,4,0.2,0.043412924,0.670011207,0.169682425,50,150,0.184895572,3.765980005,0.283824957,15.92240644
0,4,0.4,0.034566879,0.655536308,0.167421839,50,150,0.230629676,3.79253149,0.312263553,16.15899324
0,4,0.6,0.029932499,0.799304924,0.187156877,50,150,0.33093219,3.932563066,0.282580446,15.83201313
0,4,0.8,0.038760662,0.943464313,0.197310368,50,150,0.372354792,3.931056261,0.277001132,15.30031347
0,4,0,0.092277288,0.906551227,0.18470993,50,300,0.18470993,0.222962141,0.29498468,0.903342724
0,8,0.2,0.095808983,2.897406054,0.16054028,50,300,0.199237048,17.18152261,0.232452713,67.52392387
0,32,0.2,0.152215242,12.99651277,0.086747762,150,150,0.136219679,13.47646213,0.122889122,66.53247762
0,8,0.2,0.27307272,2.291216803,0.147079144,300,150,0.176285394,21.77840161,0.228228076,87.04770112
0,32,0.4,0.127262592,14.56056166,0.089275696,150,150,0.218641627,13.71467805,0.123140576,54.21653032
0,4,0.2,0.083743572,0.909588565,0.185918922,50,300,0.212765765,15.93000364,0.294616894,63.33274364
0,8,0.4,0.078797817,2.926612317,0.160998624,50,300,0.231634681,17.4328692,0.236045124,68.38097644
0,32,0.6,0.12339139,38.01964158,0.097383443,150,150,0.318230278,13.05490041,0.123259694,52.54937601
0,8,0.4,0.214784861,2.297231835,0.147236263,300,150,0.245666456,21.88114047,0.234013576,86.45751739
0,4,0.4,0.07118845,0.942197846,0.188438259,50,300,0.275225198,15.42548728,0.302180904,62.38363194
0,8,0.6,0.081709146,2.733169862,0.153575406,50,300,0.309406765,16.9457128,0.23804532,67.39812016
0,32,0.8,0.100840569,285.664355,0.136338714,150,150,0.425608226,12.96832943,0.124474267,51.68641996
0,32,0,0.384595156,12.8981796,0.086560589,150,300,0.086560589,0.869742393,0.123158292,3.029314995
0,4,0.6,0.0742805,1.011231846,0.197836103,50,300,0.344280698,15.39820433,0.292009036,61.4301219
0,8,0.6,0.165778399,2.233498396,0.145709599,300,150,0.319861919,21.2245307,0.229609312,84.07424569
0,8,0.8,0.074190855,4.7958837,0.178551068,50,300,0.386621893,16.47911024,0.242763459,66.84459305
0,8,0,0.198243856,2.952398507,0.163643568,50,500,0.163643568,0.443087101,0.232735402,1.729268551
0,16,0.2,0.187873363,5.898257617,0.118801453,50,500,0.155452557,55.34871197,0.171025692,274.1545064
0,4,0.8,0.060101986,0.730577892,0.158803717,50,300,0.41536745,15.2627306,0.298883073,62.14539552
0,4,0,0.16640234,0.55720798,0.163065214,50,500,0.163065214,0.402812481,0.286851144,1.582235336
0,64,0.2,0.432855606,33.04172119,0.065967893,150,300,0.119511577,65.16906095,0.087823274,323.6064897
0,8,0.8,0.156572104,2.640662824,0.158578037,300,150,0.428823009,20.90697932,0.241490501,85.5041666
0,8,0,0.56592989,2.608396145,0.16155354,300,300,0.16155354,1.216737032,0.232940298,5.063460827
0,16,0.2,0.515018463,5.576002814,0.113890349,300,300,0.15266238,89.1093998,0.17019989,351.926445
0,32,0.2,0.316777468,13.12597359,0.087237919,150,300,0.132228806,52.30171323,0.123217989,209.4053199
0,4,0.2,0.418219805,0.714280129,0.166437352,150,500,0.184402985,121.0106735,0.285955075,474.1555958
0,4,0.2,0.146373034,0.562636218,0.1634827,50,500,0.194977837,42.72459912,0.281307502,167.6460466
0,16,0.4,0.166886568,5.696772973,0.116489031,50,500,0.218463173,54.95785475,0.171298125,215.5395067
0,8,0.2,0.157191753,2.941107971,0.163397609,50,500,0.188813237,46.61215234,0.233091568,230.4962466
0,64,0.4,0.35484314,66.19692014,0.069364931,150,300,0.21450821,64.55907321,0.087807684,253.6236894
0,32,0.4,0.282176971,13.80981432,0.088913789,150,300,0.215490961,51.33961368,0.123110088,205.5659399
0,4,0.4,0.121086359,0.575499879,0.165832709,50,500,0.245521011,41.26008415,0.296144781,165.0429597
0,8,0.4,0.132034302,3.012259412,0.16529546,50,500,0.247745821,45.46101642,0.234122361,182.0809956
0,16,0.4,0.419567108,5.550151821,0.113543256,300,300,0.231519702,85.83528233,0.171488056,342.6290994
0,16,0.6,0.166013479,6.250636814,0.120844683,50,500,0.308362899,52.57568645,0.172457161,210.2325637
0,8,0.2,0.498585701,2.624288871,0.161813587,300,300,0.196811046,83.94186068,0.228345801,417.8588581
0,4,0.6,0.124245882,0.535523264,0.159696607,50,500,0.313942158,41.30733562,0.301121155,165.3138456
0,64,0.6,0.322140217,243.9205101,0.07790403,150,300,0.309154438,63.04131985,0.087965113,252.1211908
0,32,0.6,0.229785919,17.21816133,0.091286797,150,300,0.311447772,51.26450253,0.123618648,205.287081
0,8,0.6,0.122793913,3.061406663,0.165510914,50,500,0.321299882,45.40308118,0.236642968,181.6250021
0,16,0.8,0.153270483,19.43697901,0.131237771,50,500,0.403730437,52.85553741,0.174163799,210.814146
0,16,0,0.151098013,5.447640782,0.113159361,150,150,0.113159361,0.332215071,0.170733061,1.285167694
0,4,0.4,0.34912014,0.723210014,0.167408925,150,500,0.226753941,115.5540586,0.303457468,462.8471277
0,16,0.2,0.136245251,5.509676221,0.113643657,150,150,0.150208951,11.4205811,0.170617994,45.54102564
0,4,0.8,0.090065479,0.537210252,0.161708012,50,500,0.390363126,41.21322155,0.29429871,164.9584205
0,4,0,0.142519951,0.67283862,0.172290036,150,150,0.172290036,0.290060759,0.289041277,1.253541231
0,16,0.4,0.111321449,5.748664694,0.115686226,150,150,0.230386448,11.44193769,0.172500255,45.68232512
0,4,0.2,0.110875845,0.677183134,0.172726373,150,150,0.188612276,10.27562428,0.289546242,41.35262156
0,16,0.6,0.356129885,5.555009935,0.113598979,300,300,0.318272473,85.4952848,0.171610888,342.5336003
0,8,0.8,0.117877722,3.176696907,0.16352299,50,500,0.389903622,45.44891238,0.239728528,181.9127314
0,8,0,0.142768621,2.191733643,0.147774467,150,150,0.147774467,0.30163455,0.230259679,1.242400646
0,16,0.6,0.105901241,5.996121747,0.119525759,150,150,0.336606453,11.27745557,0.170577697,45.62077022
0,32,0.8,0.217140675,117.0970674,0.109864171,150,300,0.410917293,50.89522815,0.123950457,204.9072485
0,4,0.4,0.121421337,0.690426112,0.17452501,150,150,0.206419486,10.27866268,0.289590737,41.23422599
0,32,0,0.571277857,11.54821765,0.082564797,150,500,0.082564797,1.211176157,0.123034558,4.49964118
0,64,0.8,0.306549072,784.5058082,0.114474732,150,300,0.410850939,63.10880327,0.088156155,251.8702376
0,8,0.2,0.116183519,2.244652661,0.149488307,150,150,0.175157206,10.74003005,0.228677658,43.30555606
0,16,0.8,0.098949432,19.03383272,0.128912453,150,150,0.423664001,11.43219328,0.171338112,45.53005362
0,16,0,0.311601162,6.654213347,0.123388242,150,300,0.123388242,0.657304525,0.171942718,2.587719202
0,8,0.4,0.410087347,2.65627538,0.163003202,300,300,0.256180814,83.07120323,0.234724396,333.4842801
0,64,0,0.717806816,27.44599981,0.062734776,150,500,0.062734776,1.512250662,0.087693654,5.42024827
0,4,0.6,0.082786798,0.644537595,0.170014905,150,150,0.265110122,10.32627678,0.310395636,41.52839398
0,8,0.4,0.112656832,2.186602123,0.147656126,150,150,0.226836975,10.80808449,0.232465981,43.42443609
0,4,0.8,0.070237875,0.865470239,0.201066938,150,150,0.501517562,10.35440993,0.312443316,41.58875847
0,4,0,0.274291277,0.698747708,0.174598332,150,300,0.174598332,0.599504471,0.291682551,2.405647278
0,8,0.6,0.08878231,2.227512097,0.149204452,150,150,0.345392933,10.75148439,0.233519264,43.13993621
0,8,0.8,0.073336601,2.411126192,0.153824493,150,150,0.44947045,10.66617274,0.238459139,43.10101438
0,8,0,0.304327011,2.401901549,0.150439005,150,300,0.150439005,0.644426584,0.231351195,2.507285833
0,16,0.2,0.287919283,6.779554387,0.12464182,150,300,0.15285203,45.85078263,0.171209361,183.0368488
0,32,0.2,1.113136768,12.39575568,0.085314199,300,500,0.132194135,265.136678,0.122720288,1298.760926
0,4,0.2,0.238627672,0.699468593,0.17464141,150,300,0.204578074,41.38354826,0.295920262,165.9734032
0,16,0.8,0.31857276,5.956770183,0.116663018,300,300,0.418433275,85.64335084,0.173274759,343.5276124
0,16,0,0.954510927,5.739654591,0.115481562,300,500,0.115481562,1.965368748,0.170547852,8.02416563
0,8,0.2,0.253860474,2.43351104,0.151532231,150,300,0.181396459,43.01265526,0.231950079,172.3002379
0,4,0.6,0.296515942,0.700078184,0.163596552,150,500,0.285332503,115.8509336,0.315969324,463.0751572
0,8,0.6,0.330285072,2.669912924,0.163535887,300,300,0.331847357,82.88210869,0.240214609,332.9146605
0,16,0.4,0.248936653,6.757174313,0.124341222,150,300,0.233038816,45.33264947,0.170980711,182.1469674
0,4,0.4,0.223441124,0.709614264,0.176174569,150,300,0.267355069,41.71799231,0.305721274,166.3306644
0,8,0.4,0.209840536,2.410906515,0.15150586,150,300,0.24023799,43.24207616,0.231665219,171.8915231
0,32,0.2,0.516528845,11.75911779,0.083190718,150,500,0.136151937,142.2211459,0.122971395,567.3488333
0,4,0.6,0.167088985,0.652748064,0.167932303,150,300,0.33565283,41.44355917,0.310102298,164.0292771
0,16,0.6,0.193336487,6.841615534,0.125246923,150,300,0.313453812,45.50839138,0.173896263,179.7048666
0,8,0.6,0.19025588,2.351895315,0.149075933,150,300,0.31715407,41.25937629,0.235219849,165.6729248
0,8,0.8,0.295518875,2.493670038,0.158067027,300,300,0.415279074,82.88349175,0.235942984,324.7578197
0,8,0,0.918078899,2.931719386,0.163425638,300,500,0.163425638,1.856816053,0.232700776,7.663238764
0,4,0.8,0.150182009,0.73548529,0.181331775,150,300,0.420316932,40.27341366,0.299868031,161.8578415
0,16,0.8,0.172228813,7.965536329,0.129337613,150,300,0.396609266,44.23305988,0.172731385,176.9821942
0,16,0,0.497301817,6.405417725,0.122326683,150,500,0.122326683,1.036261082,0.171712607,4.07135725
0,4,0.8,0.253306866,0.653702796,0.160833303,150,500,0.348995626,115.6242309,0.297291533,452.5177
0,4,0,0.300425053,0.544127957,0.16199185,300,150,0.16199185,0.57297039,0.277581794,2.269374609
0,8,0.8,0.144831657,2.835582005,0.159867971,150,300,0.396494569,41.84213758,0.242358301,165.5169938
0,8,0,0.451539278,2.035787203,0.143949259,150,500,0.143949259,0.968994617,0.228196604,4.018969059
0,4,0.2,0.231752634,0.561289312,0.164148264,300,150,0.198268058,19.4965961,0.277225612,77.95409226
0,4,0.4,0.193181038,0.527837989,0.159489411,300,150,0.24344173,19.43142772,0.296960954,77.83760667
0,4,0.6,0.16340065,0.52433892,0.159797096,300,150,0.299223673,19.46290636,0.31466005,77.76870418
0,4,0.8,0.144577742,0.563692129,0.166449266,300,150,0.359167247,19.16257882,0.278536364,77.44057512
0,4,0,0.510180473,0.871693543,0.194119365,300,300,0.194119365,1.07398963,0.295714713,4.443803787
0,32,0.4,0.445839882,11.92270885,0.083589879,150,500,0.223051906,138.4300177,0.123127239,549.1564984
0,64,0.2,0.669526577,28.5378742,0.063756262,150,500,0.117728433,176.0780053,0.087727156,1192.367419
0,32,0.4,0.780665636,12.53674447,0.08562553,300,500,0.221281689,256.3038251,0.123272766,989.757386
0,16,0.2,0.433722019,6.414423197,0.12247671,150,500,0.15094824,122.1230812,0.171152018,485.9937661
0,8,0.2,0.392654657,2.020403417,0.143347786,150,500,0.158683333,114.0740261,0.225495649,456.7797804
0,4,0.2,0.447254896,0.870445368,0.194388248,300,300,0.16873127,77.68861222,0.28258649,311.1242995
0,16,0.2,0.897954702,5.779520846,0.115855812,300,500,0.153407509,237.0858612,0.170980387,1152.457837
0,8,0.2,0.78057909,2.94389432,0.163714027,300,500,0.19313288,220.250596,0.234803854,878.0264983
0,32,0.6,0.375119925,12.75091592,0.08559342,150,500,0.324464597,136.0192904,0.123774383,545.5060196
0,4,0.4,0.393722296,0.872362252,0.194425894,300,300,0.283217868,77.99421096,0.293726507,310.9049325
0,16,0.4,0.396713018,6.645853299,0.12454636,150,500,0.242536564,121.520788,0.171858208,485.1765466
0,8,0.4,0.356699944,1.962202068,0.141402212,150,500,0.230619904,114.0981822,0.230737349,456.2254262
0,64,0.4,0.558700323,34.1039319,0.066124695,150,500,0.211469357,165.6134577,0.087789825,662.8820302
0,4,0.6,0.32702589,0.918734075,0.199112035,300,300,0.353116603,77.69220901,0.317872612,310.6558423
0,32,0.6,0.654802561,12.83759168,0.08665245,300,500,0.311971425,242.7070103,0.123132116,972.0022125
