run,state,missing,SS ratio,agents,observations,Time,RFN,KL,Inaccuracy
0,4,0,0,50,150,0.061668634,0.436076302,0.885062783,0.154176255
0,4,0.2,0,50,150,0,0.426096028,0.849056208,0.150647695
0,4,0.4,0,50,150,0.040248632,0.420877869,0.813411282,0.148802798
0,4,0.6,0,50,150,0,0.484583304,1.103859131,0.17132607
0,4,0.8,0,50,150,0.031569004,0.546661692,1.208312031,0.193274095
0,8,0,0,300,150,0.312216282,0.634640754,2.982691107,0.158660188
0,8,0,0,50,300,0.114346027,0.656068126,2.717162289,0.164017032
0,8,0.2,0,50,300,0,0.654479303,2.703557059,0.163619826
0,8,0.2,0,300,150,0,0.638855847,3.015253898,0.159713962
0,4,0.2,0.2,50,150,0,0.458697052,0.953808321,0.162173898
0,8,0.4,0,50,300,0.088145971,0.660149963,2.769127651,0.165037491
0,8,0.6,0,50,300,0,0.658239755,2.740192785,0.164559939
0,4,0.4,0.2,50,150,0.038585186,0.451327307,0.957894397,0.1595683
0,8,0.4,0,300,150,0.196439981,0.624036486,2.902982521,0.156009121
0,8,0.8,0,50,300,0.062623501,0.616727505,2.720872682,0.154181876
0,4,0,0,150,500,0.48425436,0.38060784,0.518191349,0.134565192
0,4,0.6,0.2,50,150,0,0.460882109,0.979910551,0.162946432
0,8,0.6,0,300,150,0,0.638837079,3.053762383,0.15970927
0,4,0.8,0.2,50,150,0.027153492,0.476502593,1.2012309,0.168469107
0,4,0.2,0.4,50,150,0,0.469519725,0.952721353,0.166000291
0,8,0.8,0,300,150,0.161539078,0.627046675,2.889085086,0.156761669
0,4,0.4,0.4,50,150,0.035169601,0.469519725,0.952721353,0.166000291
0,32,0,0,150,150,0.1799438,0.707352472,13.93451601,0.088419059
0,4,0.2,0,150,500,0,0.387992043,0.532519108,0.137175902
0,4,0.6,0.4,50,150,0,0.501181533,1.002370184,0.17719443
0,32,0.2,0,150,150,0,0.715713796,14.37185852,0.089464225
0,4,0.8,0.4,50,150,0.027546644,0.57070791,1.133168084,0.201775717
0,4,0.2,0.6,50,150,0,0.505285011,1.044660916,0.178645229
0,32,0.4,0,150,150,0.133859634,0.730201093,17.05958293,0.091275137
0,4,0.4,0.6,50,150,0.029552221,0.505285011,1.044660916,0.178645229
0,4,0.4,0,150,500,0.357736349,0.380284426,0.519452145,0.134450848
0,4,0.6,0.6,50,150,0,0.505285011,1.044660916,0.178645229
